"1" "2" "3" "4" "5" "6" "7" "8" "9"
"AL" 0 0 0 0 0 985 0 0 0
"AT" 2203 2181 2328 0 0 0 1780 1970 2453
"BE" 1820 1734 1768 1706 1674 1809 1723 1681 1706
"BG" 0 0 1251 2094 2301 2098 0 0 1834
"CH" 2009 2085 1759 1764 1467 1454 1491 1480 1500
"CY" 0 0 935 1169 1016 1078 0 0 756
"CZ" 1214 2446 0 1951 2283 1904 1790 2145 2305
"DE" 2787 2801 2829 2697 2946 2913 2983 2807 2316
"DK" 1457 1458 1451 1554 1549 1610 1475 0 1550
"EE" 0 1932 1420 1618 1734 2313 1983 1975 1889
"ES" 1639 1549 1802 2520 1862 1821 1858 1883 1541
"FI" 1759 1692 1646 1898 1638 2142 2044 1896 1730
"FR" 1312 1661 1948 2028 1693 1933 1886 2031 1951
"GB" 1749 1806 2302 2231 2317 2214 2178 1903 2149
"GR" 2453 2293 0 1980 2576 0 0 0 0
"HR" 0 0 0 1346 1530 0 0 0 1634
"HU" 1564 1407 1412 1389 1404 1920 1461 1393 1573
"IE" 1843 1142 1583 1683 2312 2499 2291 2642 2072
"IL" 2170 0 0 2105 2100 2271 2239 2211 0
"IS" 0 525 0 0 0 743 0 842 842
"IT" 0 0 0 0 0 865 0 2396 2570
"LT" 0 0 0 0 1579 2057 2174 2028 1652
"LU" 0 1550 0 0 0 0 0 0 0
"LV" 0 0 0 1930 0 0 0 0 864
"ME" 0 0 0 0 0 0 0 0 1136
"NL" 2302 1824 1815 1693 1756 1788 1802 1645 1638
"NO" 1806 1544 1533 1374 1518 1598 1408 1517 1388
"PL" 1985 1624 1631 1546 1675 1819 1551 1629 1425
"PT" 1418 1987 2119 2220 2035 2062 1210 1230 1019
"RO" 0 0 0 1941 0 0 0 0 0
"RS" 0 0 0 0 0 0 0 0 1922
"RU" 0 0 2309 2410 2491 2343 0 2296 0
"SE" 1677 1663 1586 1540 1457 1800 1755 1521 1508
"SI" 1392 1298 1329 1174 1241 1160 1117 1200 1217
"SK" 0 1422 1670 1762 1780 1787 0 0 1045
"TR" 0 1595 0 1850 0 0 0 0 0
"UA" 0 1884 1879 1719 1777 2058 0 0 0
"XK" 0 0 0 0 0 1067 0 0 0
