"1" "2" "3" "4" "5" "6" "7" "8" "9"
0 0 0 0 0 985 0 0 0
2203 2181 2328 0 0 0 1780 1970 2453
1820 1734 1768 1706 1674 1809 1723 1681 1706
0 0 1251 2094 2301 2098 0 0 1834
2009 2085 1759 1764 1467 1454 1491 1480 1500
0 0 935 1169 1016 1078 0 0 756
1214 2446 0 1951 2283 1904 1790 2145 2305
2787 2801 2829 2697 2946 2913 2983 2807 2316
1457 1458 1451 1554 1549 1610 1475 0 1550
0 1932 1420 1618 1734 2313 1983 1975 1889
1639 1549 1802 2520 1862 1821 1858 1883 1541
1759 1692 1646 1898 1638 2142 2044 1896 1730
1312 1661 1948 2028 1693 1933 1886 2031 1951
1749 1806 2302 2231 2317 2214 2178 1903 2149
2453 2293 0 1980 2576 0 0 0 0
0 0 0 1346 1530 0 0 0 1634
1564 1407 1412 1389 1404 1920 1461 1393 1573
1843 1142 1583 1683 2312 2499 2291 2642 2072
2170 0 0 2105 2100 2271 2239 2211 0
0 525 0 0 0 743 0 842 842
0 0 0 0 0 865 0 2396 2570
0 0 0 0 1579 2057 2174 2028 1652
0 1550 0 0 0 0 0 0 0
0 0 0 1930 0 0 0 0 864
0 0 0 0 0 0 0 0 1136
2302 1824 1815 1693 1756 1788 1802 1645 1638
1806 1544 1533 1374 1518 1598 1408 1517 1388
1985 1624 1631 1546 1675 1819 1551 1629 1425
1418 1987 2119 2220 2035 2062 1210 1230 1019
0 0 0 1941 0 0 0 0 0
0 0 0 0 0 0 0 0 1922
0 0 2309 2410 2491 2343 0 2296 0
1677 1663 1586 1540 1457 1800 1755 1521 1508
1392 1298 1329 1174 1241 1160 1117 1200 1217
0 1422 1670 1762 1780 1787 0 0 1045
0 1595 0 1850 0 0 0 0 0
0 1884 1879 1719 1777 2058 0 0 0
0 0 0 0 0 1067 0 0 0
