"cntry" "essround" "m"
"1" "AL" 6 4.836
"2" "AT" 1 4.12
"3" "AT" 2 4.081
"4" "AT" 3 4.075
"5" "AT" 7 4.52
"6" "AT" 8 4.448
"7" "AT" 9 4.457
"8" "BE" 1 4.271
"9" "BE" 2 4.328
"10" "BE" 3 4.316
"11" "BE" 4 4.32
"12" "BE" 5 4.3
"13" "BE" 6 4.399
"14" "BE" 7 4.356
"15" "BE" 8 4.306
"16" "BE" 9 4.313
"17" "BG" 3 4.712
"18" "BG" 4 4.691
"19" "BG" 5 4.795
"20" "BG" 6 4.815
"21" "BG" 9 4.395
"22" "CH" 1 4.024
"23" "CH" 2 4.14
"24" "CH" 3 4.133
"25" "CH" 4 4.15
"26" "CH" 5 4.302
"27" "CH" 6 4.359
"28" "CH" 7 4.33
"29" "CH" 8 4.262
"30" "CH" 9 4.237
"31" "CY" 3 4.74
"32" "CY" 4 4.811
"33" "CY" 5 4.972
"34" "CY" 6 4.858
"35" "CY" 9 4.782
"36" "CZ" 1 4.503
"37" "CZ" 2 4.373
"38" "CZ" 4 4.327
"39" "CZ" 5 4.393
"40" "CZ" 6 4.426
"41" "CZ" 7 4.471
"42" "CZ" 8 4.282
"43" "CZ" 9 4.396
"44" "DE" 1 4.164
"45" "DE" 2 4.167
"46" "DE" 3 4.155
"47" "DE" 4 4.15
"48" "DE" 5 4.293
"49" "DE" 6 4.275
"50" "DE" 7 4.202
"51" "DE" 8 4.157
"52" "DE" 9 4.139
"53" "DK" 1 3.918
"54" "DK" 2 4
"55" "DK" 3 3.966
"56" "DK" 4 3.993
"57" "DK" 5 4.075
"58" "DK" 6 4.127
"59" "DK" 7 4.151
"60" "DK" 9 4.208
"61" "EE" 2 4.206
"62" "EE" 3 4.253
"63" "EE" 4 4.211
"64" "EE" 5 4.303
"65" "EE" 6 4.306
"66" "EE" 7 4.31
"67" "EE" 8 4.18
"68" "EE" 9 4.158
"69" "ES" 1 4.632
"70" "ES" 2 4.463
"71" "ES" 3 4.617
"72" "ES" 4 4.729
"73" "ES" 5 4.604
"74" "ES" 6 4.633
"75" "ES" 7 4.631
"76" "ES" 8 4.581
"77" "ES" 9 4.575
"78" "FI" 1 4.24
"79" "FI" 2 4.216
"80" "FI" 3 4.188
"81" "FI" 4 4.2
"82" "FI" 5 4.206
"83" "FI" 6 4.22
"84" "FI" 7 4.194
"85" "FI" 8 4.152
"86" "FI" 9 4.185
"87" "FR" 1 4.171
"88" "FR" 2 4.198
"89" "FR" 3 4.017
"90" "FR" 4 3.988
"91" "FR" 5 4.011
"92" "FR" 6 4.111
"93" "FR" 7 4.065
"94" "FR" 8 4.079
"95" "FR" 9 4.075
"96" "GB" 1 4.182
"97" "GB" 2 4.248
"98" "GB" 3 4.231
"99" "GB" 4 4.226
"100" "GB" 5 4.314
"101" "GB" 6 4.441
"102" "GB" 7 4.315
"103" "GB" 8 4.224
"104" "GB" 9 4.218
