"cntry" "essround" "m"
"1" "AL" 6 -0.145
"2" "AT" 1 -0.44
"3" "AT" 2 -0.509
"4" "AT" 3 -0.54
"5" "AT" 7 -0.174
"6" "AT" 8 -0.136
"7" "AT" 9 -0.204
"8" "BE" 1 -0.198
"9" "BE" 2 -0.15
"10" "BE" 3 -0.195
"11" "BE" 4 -0.16
"12" "BE" 5 -0.21
"13" "BE" 6 -0.204
"14" "BE" 7 -0.178
"15" "BE" 8 -0.248
"16" "BE" 9 -0.278
"17" "BG" 3 0.203
"18" "BG" 4 0.241
"19" "BG" 5 0.203
"20" "BG" 6 0.165
"21" "BG" 9 0.144
"22" "CH" 1 -0.671
"23" "CH" 2 -0.49
"24" "CH" 3 -0.575
"25" "CH" 4 -0.585
"26" "CH" 5 -0.518
"27" "CH" 6 -0.527
"28" "CH" 7 -0.496
"29" "CH" 8 -0.533
"30" "CH" 9 -0.529
"31" "CY" 3 -0.276
"32" "CY" 4 -0.197
"33" "CY" 5 -0.107
"34" "CY" 6 -0.483
"35" "CY" 9 -0.3
"36" "CZ" 1 0.42
"37" "CZ" 2 0.285
"38" "CZ" 4 0.12
"39" "CZ" 5 0.099
"40" "CZ" 6 0.097
"41" "CZ" 7 0.143
"42" "CZ" 8 -0.087
"43" "CZ" 9 -0.041
"44" "DE" 1 -0.363
"45" "DE" 2 -0.264
"46" "DE" 3 -0.319
"47" "DE" 4 -0.369
"48" "DE" 5 -0.334
"49" "DE" 6 -0.475
"50" "DE" 7 -0.493
"51" "DE" 8 -0.519
"52" "DE" 9 -0.526
"53" "DK" 1 -0.17
"54" "DK" 2 -0.048
"55" "DK" 3 -0.043
"56" "DK" 4 -0.079
"57" "DK" 5 -0.053
"58" "DK" 6 -0.026
"59" "DK" 7 -0.006
"60" "DK" 9 -0.014
"61" "EE" 2 0.03
"62" "EE" 3 -0.011
"63" "EE" 4 -0.051
"64" "EE" 5 -0.098
"65" "EE" 6 -0.022
"66" "EE" 7 -0.013
"67" "EE" 8 -0.07
"68" "EE" 9 -0.072
"69" "ES" 1 -0.022
"70" "ES" 2 -0.092
"71" "ES" 3 0.021
"72" "ES" 4 0.224
"73" "ES" 5 -0.019
"74" "ES" 6 -0.108
"75" "ES" 7 -0.118
"76" "ES" 8 -0.17
"77" "ES" 9 -0.114
"78" "FI" 1 0.074
"79" "FI" 2 0.056
"80" "FI" 3 0.055
"81" "FI" 4 0.031
"82" "FI" 5 -0.007
"83" "FI" 6 -0.097
"84" "FI" 7 -0.076
"85" "FI" 8 -0.133
"86" "FI" 9 -0.113
"87" "FR" 1 -0.255
"88" "FR" 2 -0.181
"89" "FR" 3 -0.315
"90" "FR" 4 -0.333
"91" "FR" 5 -0.377
"92" "FR" 6 -0.373
"93" "FR" 7 -0.31
"94" "FR" 8 -0.337
"95" "FR" 9 -0.416
"96" "GB" 1 -0.126
"97" "GB" 2 -0.166
"98" "GB" 3 -0.216
"99" "GB" 4 -0.152
"100" "GB" 5 -0.159
"101" "GB" 6 -0.122
"102" "GB" 7 -0.193
"103" "GB" 8 -0.235
"104" "GB" 9 -0.301
"105" "GR" 1 0.039
"106" "GR" 2 0.071
"107" "GR" 4 -0.166
"108" "GR" 5 -0.391
"109" "HR" 4 -0.045
"110" "HR" 5 -0.021
"111" "HR" 9 -0.043
"112" "HU" 1 -0.293
"113" "HU" 2 -0.352
"114" "HU" 3 -0.455
"115" "HU" 4 -0.44
"116" "HU" 5 -0.416
"117" "HU" 6 -0.347
"118" "HU" 7 -0.324
"119" "HU" 8 -0.389
