"cntry" "essround" "m"
"1" "AL" 6 -0.417
"2" "AT" 1 -0.439
"3" "AT" 2 -0.421
"4" "AT" 3 -0.427
"5" "AT" 7 -0.577
"6" "AT" 8 -0.482
"7" "AT" 9 -0.538
"8" "BE" 1 -0.79
"9" "BE" 2 -0.781
"10" "BE" 3 -0.732
"11" "BE" 4 -0.691
"12" "BE" 5 -0.745
"13" "BE" 6 -0.712
"14" "BE" 7 -0.74
"15" "BE" 8 -0.738
"16" "BE" 9 -0.724
"17" "BG" 3 -0.629
"18" "BG" 4 -0.607
"19" "BG" 5 -0.306
"20" "BG" 6 -0.273
"21" "BG" 9 -0.289
"22" "CH" 1 -0.802
"23" "CH" 2 -0.827
"24" "CH" 3 -0.77
"25" "CH" 4 -0.698
"26" "CH" 5 -0.692
"27" "CH" 6 -0.666
"28" "CH" 7 -0.707
"29" "CH" 8 -0.709
"30" "CH" 9 -0.756
"31" "CY" 3 -0.687
"32" "CY" 4 -0.627
"33" "CY" 5 -0.7
"34" "CY" 6 -0.696
"35" "CY" 9 -0.85
"36" "CZ" 1 -0.877
"37" "CZ" 2 -0.627
"38" "CZ" 4 -0.507
"39" "CZ" 5 -0.459
"40" "CZ" 6 -0.396
"41" "CZ" 7 -0.435
"42" "CZ" 8 -0.303
"43" "CZ" 9 -0.432
"44" "DE" 1 -0.718
"45" "DE" 2 -0.67
"46" "DE" 3 -0.634
"47" "DE" 4 -0.676
"48" "DE" 5 -0.762
"49" "DE" 6 -0.752
"50" "DE" 7 -0.886
"51" "DE" 8 -0.885
"52" "DE" 9 -0.896
"53" "DK" 1 -0.761
"54" "DK" 2 -0.757
"55" "DK" 3 -0.754
"56" "DK" 4 -0.747
"57" "DK" 5 -0.806
"58" "DK" 6 -0.741
"59" "DK" 7 -0.764
"60" "DK" 9 -0.86
"61" "EE" 2 -0.776
"62" "EE" 3 -0.677
"63" "EE" 4 -0.731
"64" "EE" 5 -0.802
"65" "EE" 6 -0.759
"66" "EE" 7 -0.769
"67" "EE" 8 -0.844
"68" "EE" 9 -0.827
"69" "ES" 1 -0.683
"70" "ES" 2 -0.752
"71" "ES" 3 -0.932
"72" "ES" 4 -1.032
"73" "ES" 5 -1.008
"74" "ES" 6 -1.037
"75" "ES" 7 -1.079
"76" "ES" 8 -1.149
"77" "ES" 9 -1.106
"78" "FI" 1 -0.971
"79" "FI" 2 -0.963
"80" "FI" 3 -0.986
"81" "FI" 4 -1.002
"82" "FI" 5 -0.919
"83" "FI" 6 -1.051
"84" "FI" 7 -1.095
"85" "FI" 8 -1.169
"86" "FI" 9 -1.225
"87" "FR" 1 -1.015
"88" "FR" 2 -1.085
"89" "FR" 3 -1.089
"90" "FR" 4 -1.02
"91" "FR" 5 -1.044
"92" "FR" 6 -1.068
"93" "FR" 7 -1.055
"94" "FR" 8 -1.194
"95" "FR" 9 -1.18
"96" "GB" 1 -0.703
"97" "GB" 2 -0.688
