"cntry" "essround" "m"
"1" "AL" 6 0.462
"2" "AT" 1 0.653
"3" "AT" 2 0.575
"4" "AT" 3 0.562
"5" "AT" 7 0.593
"6" "AT" 8 0.505
"7" "AT" 9 0.629
"8" "BE" 1 0.65
"9" "BE" 2 0.654
"10" "BE" 3 0.666
"11" "BE" 4 0.661
"12" "BE" 5 0.666
"13" "BE" 6 0.626
"14" "BE" 7 0.64
"15" "BE" 8 0.659
"16" "BE" 9 0.654
"17" "BG" 3 0.541
"18" "BG" 4 0.573
"19" "BG" 5 0.469
"20" "BG" 6 0.52
"21" "BG" 9 0.455
"22" "CH" 1 0.779
"23" "CH" 2 0.792
"24" "CH" 3 0.814
"25" "CH" 4 0.791
"26" "CH" 5 0.736
"27" "CH" 6 0.67
"28" "CH" 7 0.694
"29" "CH" 8 0.696
"30" "CH" 9 0.726
"31" "CY" 3 0.523
"32" "CY" 4 0.522
"33" "CY" 5 0.618
"34" "CY" 6 0.616
"35" "CY" 9 0.766
"36" "CZ" 1 0.651
"37" "CZ" 2 0.454
"38" "CZ" 4 0.392
"39" "CZ" 5 0.356
"40" "CZ" 6 0.319
"41" "CZ" 7 0.271
"42" "CZ" 8 0.237
"43" "CZ" 9 0.311
"44" "DE" 1 0.707
"45" "DE" 2 0.678
"46" "DE" 3 0.666
"47" "DE" 4 0.741
"48" "DE" 5 0.749
"49" "DE" 6 0.761
"50" "DE" 7 0.863
"51" "DE" 8 0.826
"52" "DE" 9 0.884
"53" "DK" 1 0.71
"54" "DK" 2 0.716
"55" "DK" 3 0.779
"56" "DK" 4 0.763
"57" "DK" 5 0.762
"58" "DK" 6 0.71
"59" "DK" 7 0.716
"60" "DK" 9 0.751
"61" "EE" 2 0.696
"62" "EE" 3 0.622
"63" "EE" 4 0.609
"64" "EE" 5 0.669
"65" "EE" 6 0.66
"66" "EE" 7 0.691
"67" "EE" 8 0.675
"68" "EE" 9 0.699
"69" "ES" 1 0.62
"70" "ES" 2 0.706
"71" "ES" 3 0.787
"72" "ES" 4 0.801
"73" "ES" 5 0.829
"74" "ES" 6 0.847
"75" "ES" 7 0.865
"76" "ES" 8 0.88
"77" "ES" 9 0.849
"78" "FI" 1 0.73
"79" "FI" 2 0.732
"80" "FI" 3 0.781
"81" "FI" 4 0.801
"82" "FI" 5 0.704
"83" "FI" 6 0.836
"84" "FI" 7 0.874
"85" "FI" 8 0.869
"86" "FI" 9 0.949
"87" "FR" 1 0.746
"88" "FR" 2 0.778
"89" "FR" 3 0.902
"90" "FR" 4 0.865
"91" "FR" 5 0.838
"92" "FR" 6 0.829
"93" "FR" 7 0.819
"94" "FR" 8 0.848
"95" "FR" 9 0.911
"96" "GB" 1 0.594
"97" "GB" 2 0.666
"98" "GB" 3 0.677
"99" "GB" 4 0.698
"100" "GB" 5 0.684
"101" "GB" 6 0.677
"102" "GB" 7 0.744
"103" "GB" 8 0.74
"104" "GB" 9 0.822
"105" "GR" 1 0.455
"106" "GR" 2 0.506
"107" "GR" 4 0.412
"108" "GR" 5 0.554
"109" "HR" 4 0.608
"110" "HR" 5 0.623
"111" "HR" 9 0.76
"112" "HU" 1 0.452
"113" "HU" 2 0.512
"114" "HU" 3 0.507
"115" "HU" 4 0.465
"116" "HU" 5 0.46
"117" "HU" 6 0.42
"118" "HU" 7 0.411
"119" "HU" 8 0.32
"120" "HU" 9 0.342
"121" "IE" 1 0.596
"122" "IE" 2 0.679
"123" "IE" 3 0.642
"124" "IE" 4 0.66
"125" "IE" 5 0.498
"126" "IE" 6 0.617
"127" "IE" 7 0.56
"128" "IE" 8 0.577
"129" "IE" 9 0.758
"130" "IL" 1 0.405
"131" "IL" 4 0.38
"132" "IL" 5 0.422
"133" "IL" 6 0.361
"134" "IL" 7 0.483
"135" "IL" 8 0.389
"136" "IS" 2 0.827
"137" "IS" 6 0.87
"138" "IS" 8 0.991
"139" "IS" 9 1.026
"140" "IT" 1 NA
"141" "IT" 6 0.644
"142" "IT" 8 0.429
"143" "IT" 9 0.452
"144" "LT" 5 0.343
"145" "LT" 6 0.165
"146" "LT" 7 0.245
"147" "LT" 8 0.183
"148" "LT" 9 0.338
"149" "LU" 1 NA
"150" "LU" 2 0.702
"151" "LV" 4 0.244
"152" "LV" 9 0.61
"153" "ME" 9 0.589
"154" "NL" 1 0.601
"155" "NL" 2 0.635
"156" "NL" 3 0.615
"157" "NL" 4 0.615
"158" "NL" 5 0.625
"159" "NL" 6 0.617
"160" "NL" 7 0.607
"161" "NL" 8 0.712
"162" "NL" 9 0.708
"163" "NO" 1 0.657
"164" "NO" 2 0.656
"165" "NO" 3 0.696
"166" "NO" 4 0.658
"167" "NO" 5 0.747
"168" "NO" 6 0.676
"169" "NO" 7 0.714
"170" "NO" 8 0.716
"171" "NO" 9 0.781
"172" "PL" 1 0.517
"173" "PL" 2 0.523
"174" "PL" 3 0.537
"175" "PL" 4 0.548
"176" "PL" 5 0.556
"177" "PL" 6 0.576
"178" "PL" 7 0.608
"179" "PL" 8 0.58
"180" "PL" 9 0.562
"181" "PT" 1 0.542
"182" "PT" 2 0.382
"183" "PT" 3 0.564
"184" "PT" 4 0.515
"185" "PT" 5 0.451
"186" "PT" 6 0.456
"187" "PT" 7 0.642
"188" "PT" 8 0.697
"189" "PT" 9 0.734
"190" "RO" 4 0.266
"191" "RS" 9 0.668
"192" "RU" 3 0.429
"193" "RU" 4 0.423
"194" "RU" 5 0.373
"195" "RU" 6 0.35
"196" "RU" 8 0.318
"197" "SE" 1 0.706
"198" "SE" 2 0.698
"199" "SE" 3 0.724
"200" "SE" 4 0.738
"201" "SE" 5 0.863
"202" "SE" 6 0.818
"203" "SE" 7 0.908
"204" "SE" 8 0.889
"205" "SE" 9 0.898
"206" "SI" 1 0.414
"207" "SI" 2 0.437
"208" "SI" 3 0.459
"209" "SI" 4 0.446
"210" "SI" 5 0.442
"211" "SI" 6 0.513
"212" "SI" 7 0.511
"213" "SI" 8 0.491
"214" "SI" 9 0.53
"215" "SK" 2 0.45
"216" "SK" 3 0.403
"217" "SK" 4 0.509
"218" "SK" 5 0.486
"219" "SK" 6 0.417
"220" "SK" 9 0.399
"221" "TR" 2 0.414
"222" "TR" 4 0.227
"223" "UA" 2 0.568
"224" "UA" 3 0.541
"225" "UA" 4 0.53
"226" "UA" 5 0.493
"227" "UA" 6 0.419
"228" "XK" 6 0.439
