"cntry" "essround" "m"
"1" "AL" 6 4.255
"2" "AT" 1 4.151
"3" "AT" 2 4.252
"4" "AT" 3 4.238
"5" "AT" 7 4.227
"6" "AT" 8 4.138
"7" "AT" 9 4.153
"8" "BE" 1 4.247
"9" "BE" 2 4.186
"10" "BE" 3 4.203
"11" "BE" 4 4.175
"12" "BE" 5 4.185
"13" "BE" 6 4.246
"14" "BE" 7 4.231
"15" "BE" 8 4.25
"16" "BE" 9 4.284
"17" "BG" 3 3.765
"18" "BG" 4 3.66
"19" "BG" 5 3.762
"20" "BG" 6 3.765
"21" "BG" 9 3.41
"22" "CH" 1 4.29
"23" "CH" 2 4.254
"24" "CH" 3 4.218
"25" "CH" 4 4.289
"26" "CH" 5 4.346
"27" "CH" 6 4.445
"28" "CH" 7 4.446
"29" "CH" 8 4.419
"30" "CH" 9 4.391
"31" "CY" 3 4.177
"32" "CY" 4 4.245
"33" "CY" 5 4.153
"34" "CY" 6 4.248
"35" "CY" 9 3.978
"36" "CZ" 1 3.63
"37" "CZ" 2 3.761
"38" "CZ" 4 3.885
"39" "CZ" 5 3.99
"40" "CZ" 6 3.945
"41" "CZ" 7 4.045
"42" "CZ" 8 3.974
"43" "CZ" 9 4.015
"44" "DE" 1 4.031
"45" "DE" 2 4.036
"46" "DE" 3 4.048
"47" "DE" 4 4.032
"48" "DE" 5 4.118
"49" "DE" 6 4.191
"50" "DE" 7 4.14
"51" "DE" 8 4.16
"52" "DE" 9 4.111
"53" "DK" 1 4.252
"54" "DK" 2 4.173
"55" "DK" 3 4.14
"56" "DK" 4 4.193
"57" "DK" 5 4.257
"58" "DK" 6 4.321
"59" "DK" 7 4.319
"60" "DK" 9 4.316
"61" "EE" 2 3.678
"62" "EE" 3 3.763
"63" "EE" 4 3.86
"64" "EE" 5 3.987
"65" "EE" 6 3.847
"66" "EE" 7 3.761
"67" "EE" 8 3.827
"68" "EE" 9 3.797
"69" "ES" 1 4.035
"70" "ES" 2 3.916
"71" "ES" 3 3.996
"72" "ES" 4 3.993
"73" "ES" 5 4.061
"74" "ES" 6 4.074
"75" "ES" 7 4.025
"76" "ES" 8 4.06
"77" "ES" 9 4.063
"78" "FI" 1 4.015
"79" "FI" 2 3.968
"80" "FI" 3 3.972
"81" "FI" 4 3.952
"82" "FI" 5 4.071
"83" "FI" 6 4.093
"84" "FI" 7 4.081
"85" "FI" 8 4.166
"86" "FI" 9 4.169
"87" "FR" 1 4.134
"88" "FR" 2 4.099
"89" "FR" 3 3.948
"90" "FR" 4 3.987
"91" "FR" 5 3.988
"92" "FR" 6 4.018
"93" "FR" 7 4.002
"94" "FR" 8 4.023
"95" "FR" 9 4.036
"96" "GB" 1 3.994
"97" "GB" 2 3.964
"98" "GB" 3 4.009
"99" "GB" 4 3.986
"100" "GB" 5 3.995
"101" "GB" 6 4.06
"102" "GB" 7 3.976
"103" "GB" 8 3.995
"104" "GB" 9 3.989
"105" "GR" 1 4.248
"106" "GR" 2 4.143
"107" "GR" 4 4.431
"108" "GR" 5 4.233
"109" "HR" 4 3.685
"110" "HR" 5 3.637
"111" "HR" 9 3.835
"112" "HU" 1 4.179
"113" "HU" 2 4.277
"114" "HU" 3 4.217
"115" "HU" 4 4.172
"116" "HU" 5 4.326
"117" "HU" 6 4.323
"118" "HU" 7 4.271
"119" "HU" 8 4.405
"120" "HU" 9 4.02
"121" "IE" 1 3.95
"122" "IE" 2 3.909
"123" "IE" 3 3.943
"124" "IE" 4 4.084
"125" "IE" 5 4.079
"126" "IE" 6 4.017
"127" "IE" 7 4.033
"128" "IE" 8 4.041
"129" "IE" 9 3.939
"130" "IL" 1 4.287
"131" "IL" 4 4.426
"132" "IL" 5 4.262
"133" "IL" 6 4.239
"134" "IL" 7 4.299
"135" "IL" 8 4.267
"136" "IS" 2 4.07
"137" "IS" 6 4.201
"138" "IS" 8 4.144
"139" "IS" 9 4.106
"140" "IT" 1 NA
"141" "IT" 6 4.067
"142" "IT" 8 3.785
"143" "IT" 9 3.71
"144" "LT" 5 3.607
"145" "LT" 6 3.623
"146" "LT" 7 3.587
"147" "LT" 8 3.671
"148" "LT" 9 3.32
"149" "LU" 1 NA
"150" "LU" 2 4.074
"151" "LV" 4 4.212
"152" "LV" 9 3.963
"153" "ME" 9 3.861
"154" "NL" 1 4.138
"155" "NL" 2 4.146
"156" "NL" 3 4.236
"157" "NL" 4 4.215
"158" "NL" 5 4.248
"159" "NL" 6 4.268
"160" "NL" 7 4.2
"161" "NL" 8 4.273
"162" "NL" 9 4.264
"163" "NO" 1 3.758
"164" "NO" 2 3.769
"165" "NO" 3 3.81
"166" "NO" 4 3.847
"167" "NO" 5 3.907
"168" "NO" 6 4.026
"169" "NO" 7 3.962
"170" "NO" 8 3.982
"171" "NO" 9 3.96
"172" "PL" 1 3.779
"173" "PL" 2 3.783
"174" "PL" 3 3.822
"175" "PL" 4 3.785
"176" "PL" 5 3.793
"177" "PL" 6 3.839
"178" "PL" 7 3.733
"179" "PL" 8 3.794
"180" "PL" 9 3.542
"181" "PT" 1 3.86
"182" "PT" 2 3.822
"183" "PT" 3 3.748
"184" "PT" 4 3.652
"185" "PT" 5 3.841
"186" "PT" 6 3.809
"187" "PT" 7 3.888
"188" "PT" 8 4.019
"189" "PT" 9 3.944
"190" "RO" 4 3.856
"191" "RS" 9 3.777
"192" "RU" 3 3.704
"193" "RU" 4 3.731
"194" "RU" 5 3.919
"195" "RU" 6 3.907
"196" "RU" 8 3.821
"197" "SE" 1 3.889
"198" "SE" 2 3.928
"199" "SE" 3 3.972
"200" "SE" 4 4.007
"201" "SE" 5 4.081
"202" "SE" 6 4.188
"203" "SE" 7 4.162
"204" "SE" 8 4.134
"205" "SE" 9 4.105
"206" "SI" 1 4.188
"207" "SI" 2 4.175
"208" "SI" 3 4.282
"209" "SI" 4 4.295
"210" "SI" 5 4.385
"211" "SI" 6 4.349
"212" "SI" 7 4.428
"213" "SI" 8 4.392
"214" "SI" 9 4.368
"215" "SK" 2 3.718
"216" "SK" 3 3.828
"217" "SK" 4 3.651
"218" "SK" 5 3.684
"219" "SK" 6 3.805
"220" "SK" 9 3.811
"221" "TR" 2 3.963
"222" "TR" 4 4.267
"223" "UA" 2 3.321
"224" "UA" 3 3.483
"225" "UA" 4 3.49
"226" "UA" 5 3.407
"227" "UA" 6 3.613
"228" "XK" 6 4.22
