"cntry" "essround" "m"
"1" "AL" 6 -0.58
"2" "AT" 1 0.031
"3" "AT" 2 0.172
"4" "AT" 3 0.163
"5" "AT" 7 -0.293
"6" "AT" 8 -0.31
"7" "AT" 9 -0.304
"8" "BE" 1 -0.024
"9" "BE" 2 -0.142
"10" "BE" 3 -0.113
"11" "BE" 4 -0.145
"12" "BE" 5 -0.115
"13" "BE" 6 -0.153
"14" "BE" 7 -0.126
"15" "BE" 8 -0.056
"16" "BE" 9 -0.028
"17" "BG" 3 -0.947
"18" "BG" 4 -1.031
"19" "BG" 5 -1.032
"20" "BG" 6 -1.05
"21" "BG" 9 -0.985
"22" "CH" 1 0.265
"23" "CH" 2 0.114
"24" "CH" 3 0.085
"25" "CH" 4 0.139
"26" "CH" 5 0.044
"27" "CH" 6 0.085
"28" "CH" 7 0.116
"29" "CH" 8 0.158
"30" "CH" 9 0.154
"31" "CY" 3 -0.563
"32" "CY" 4 -0.566
"33" "CY" 5 -0.818
"34" "CY" 6 -0.61
"35" "CY" 9 -0.804
"36" "CZ" 1 -0.874
"37" "CZ" 2 -0.612
"38" "CZ" 4 -0.442
"39" "CZ" 5 -0.403
"40" "CZ" 6 -0.481
"41" "CZ" 7 -0.426
"42" "CZ" 8 -0.308
"43" "CZ" 9 -0.381
"44" "DE" 1 -0.132
"45" "DE" 2 -0.131
"46" "DE" 3 -0.107
"47" "DE" 4 -0.118
"48" "DE" 5 -0.175
"49" "DE" 6 -0.084
"50" "DE" 7 -0.062
"51" "DE" 8 0.003
"52" "DE" 9 -0.027
"53" "DK" 1 0.334
"54" "DK" 2 0.172
"55" "DK" 3 0.173
"56" "DK" 4 0.2
"57" "DK" 5 0.182
"58" "DK" 6 0.194
"59" "DK" 7 0.167
"60" "DK" 9 0.108
"61" "EE" 2 -0.528
"62" "EE" 3 -0.489
"63" "EE" 4 -0.351
"64" "EE" 5 -0.317
"65" "EE" 6 -0.459
"66" "EE" 7 -0.549
"67" "EE" 8 -0.353
"68" "EE" 9 -0.361
"69" "ES" 1 -0.597
"70" "ES" 2 -0.547
"71" "ES" 3 -0.621
"72" "ES" 4 -0.736
"73" "ES" 5 -0.543
"74" "ES" 6 -0.559
"75" "ES" 7 -0.605
"76" "ES" 8 -0.521
"77" "ES" 9 -0.512
"78" "FI" 1 -0.225
"79" "FI" 2 -0.248
"80" "FI" 3 -0.216
"81" "FI" 4 -0.248
"82" "FI" 5 -0.136
"83" "FI" 6 -0.127
"84" "FI" 7 -0.113
"85" "FI" 8 0.014
"86" "FI" 9 -0.017
"87" "FR" 1 -0.037
"88" "FR" 2 -0.099
"89" "FR" 3 -0.068
"90" "FR" 4 -0.002
"91" "FR" 5 -0.023
"92" "FR" 6 -0.093
"93" "FR" 7 -0.063
"94" "FR" 8 -0.057
"95" "FR" 9 -0.038
"96" "GB" 1 -0.188
"97" "GB" 2 -0.284
"98" "GB" 3 -0.222
"99" "GB" 4 -0.241
"100" "GB" 5 -0.319
"101" "GB" 6 -0.381
"102" "GB" 7 -0.339
"103" "GB" 8 -0.229
"104" "GB" 9 -0.229
"105" "GR" 1 -0.712
"106" "GR" 2 -0.879
"107" "GR" 4 -0.372
"108" "GR" 5 -0.54
"109" "HR" 4 -0.746
"110" "HR" 5 -0.864
"111" "HR" 9 -0.692
"112" "HU" 1 -0.346
"113" "HU" 2 -0.29
"114" "HU" 3 -0.317
"115" "HU" 4 -0.295
"116" "HU" 5 -0.251
"117" "HU" 6 -0.267
"118" "HU" 7 -0.296
"119" "HU" 8 -0.159
"120" "HU" 9 -0.224
"121" "IE" 1 -0.499
"122" "IE" 2 -0.627
"123" "IE" 3 -0.441
"124" "IE" 4 -0.391
"125" "IE" 5 -0.301
"126" "IE" 6 -0.425
"127" "IE" 7 -0.421
"128" "IE" 8 -0.309
