"cntry" "essround" "m"
"1" "AL" 6 4.186
"2" "AT" 1 3.823
"3" "AT" 2 3.846
"4" "AT" 3 3.823
"5" "AT" 7 3.852
"6" "AT" 8 3.861
"7" "AT" 9 3.85
"8" "BE" 1 3.478
"9" "BE" 2 3.488
"10" "BE" 3 3.561
"11" "BE" 4 3.601
"12" "BE" 5 3.526
"13" "BE" 6 3.634
"14" "BE" 7 3.574
"15" "BE" 8 3.569
"16" "BE" 9 3.606
"17" "BG" 3 3.633
"18" "BG" 4 3.608
"19" "BG" 5 4.066
"20" "BG" 6 4.142
"21" "BG" 9 3.709
"22" "CH" 1 3.414
"23" "CH" 2 3.427
"24" "CH" 3 3.49
"25" "CH" 4 3.623
"26" "CH" 5 3.71
"27" "CH" 6 3.795
"28" "CH" 7 3.735
"29" "CH" 8 3.688
"30" "CH" 9 3.61
"31" "CY" 3 3.764
"32" "CY" 4 3.909
"33" "CY" 5 3.887
"34" "CY" 6 3.88
"35" "CY" 9 3.566
"36" "CZ" 1 3.169
"37" "CZ" 2 3.422
"38" "CZ" 4 3.594
"39" "CZ" 5 3.727
"40" "CZ" 6 3.792
"41" "CZ" 7 3.791
"42" "CZ" 8 3.822
"43" "CZ" 9 3.759
"44" "DE" 1 3.436
"45" "DE" 2 3.491
"46" "DE" 3 3.534
"47" "DE" 4 3.5
"48" "DE" 5 3.503
"49" "DE" 6 3.548
"50" "DE" 7 3.349
"51" "DE" 8 3.325
"52" "DE" 9 3.299
"53" "DK" 1 3.367
"54" "DK" 2 3.378
"55" "DK" 3 3.373
"56" "DK" 4 3.416
"57" "DK" 5 3.409
"58" "DK" 6 3.534
"59" "DK" 7 3.516
"60" "DK" 9 3.43
"61" "EE" 2 3.199
"62" "EE" 3 3.365
"63" "EE" 4 3.314
"64" "EE" 5 3.354
"65" "EE" 6 3.34
"66" "EE" 7 3.298
"67" "EE" 8 3.159
"68" "EE" 9 3.166
"69" "ES" 1 3.681
"70" "ES" 2 3.483
"71" "ES" 3 3.393
"72" "ES" 4 3.319
"73" "ES" 5 3.335
"74" "ES" 6 3.325
"75" "ES" 7 3.256
"76" "ES" 8 3.161
"77" "ES" 9 3.198
"78" "FI" 1 3.138
"79" "FI" 2 3.114
"80" "FI" 3 3.09
"81" "FI" 4 3.074
"82" "FI" 5 3.207
"83" "FI" 6 3.104
"84" "FI" 7 3.042
"85" "FI" 8 2.963
"86" "FI" 9 2.939
"87" "FR" 1 3.111
"88" "FR" 2 3.028
"89" "FR" 3 2.908
"90" "FR" 4 2.989
"91" "FR" 5 2.957
"92" "FR" 6 2.987
"93" "FR" 7 2.969
"94" "FR" 8 2.813
"95" "FR" 9 2.865
"96" "GB" 1 3.398
"97" "GB" 2 3.467
"98" "GB" 3 3.425
"99" "GB" 4 3.377
"100" "GB" 5 3.506
"101" "GB" 6 3.565
"102" "GB" 7 3.335
"103" "GB" 8 3.319
"104" "GB" 9 3.271
"105" "GR" 1 4.071
"106" "GR" 2 4.131
"107" "GR" 4 4.388
"108" "GR" 5 4.207
"109" "HR" 4 3.683
"110" "HR" 5 3.791
"111" "HR" 9 3.591
"112" "HU" 1 3.771
"113" "HU" 2 3.818
"114" "HU" 3 3.754
"115" "HU" 4 3.829
"116" "HU" 5 3.954
"117" "HU" 6 4.157
"118" "HU" 7 4.04
"119" "HU" 8 4.183
"120" "HU" 9 3.776
"121" "IE" 1 3.558
"122" "IE" 2 3.504
"123" "IE" 3 3.498
"124" "IE" 4 3.613
"125" "IE" 5 3.759
"126" "IE" 6 3.764
"127" "IE" 7 3.732
"128" "IE" 8 3.518
"129" "IE" 9 3.376
"130" "IL" 1 4.217
"131" "IL" 4 4.519
"132" "IL" 5 4.198
"133" "IL" 6 4.209
"134" "IL" 7 4.167
"135" "IL" 8 4.233
"136" "IS" 2 3.165
"137" "IS" 6 3.184
"138" "IS" 8 2.976
"139" "IS" 9 2.912
"140" "IT" 1 NA
"141" "IT" 6 3.953
"142" "IT" 8 4.035
"143" "IT" 9 4.01
"144" "LT" 5 3.718
"145" "LT" 6 3.918
"146" "LT" 7 3.913
