"cntry" "essround" "m"
"1" "AL" 6 0.879
"2" "AT" 1 1.092
"3" "AT" 2 0.997
"4" "AT" 3 0.989
"5" "AT" 7 1.169
"6" "AT" 8 0.986
"7" "AT" 9 1.168
"8" "BE" 1 1.44
"9" "BE" 2 1.435
"10" "BE" 3 1.397
"11" "BE" 4 1.353
"12" "BE" 5 1.411
"13" "BE" 6 1.338
"14" "BE" 7 1.379
"15" "BE" 8 1.397
"16" "BE" 9 1.378
"17" "BG" 3 1.17
"18" "BG" 4 1.18
"19" "BG" 5 0.775
"20" "BG" 6 0.794
"21" "BG" 9 0.744
"22" "CH" 1 1.58
"23" "CH" 2 1.619
"24" "CH" 3 1.584
"25" "CH" 4 1.489
"26" "CH" 5 1.427
"27" "CH" 6 1.336
"28" "CH" 7 1.4
"29" "CH" 8 1.405
"30" "CH" 9 1.482
"31" "CY" 3 1.21
"32" "CY" 4 1.149
"33" "CY" 5 1.318
"34" "CY" 6 1.312
"35" "CY" 9 1.616
"36" "CZ" 1 1.529
"37" "CZ" 2 1.081
"38" "CZ" 4 0.899
"39" "CZ" 5 0.815
"40" "CZ" 6 0.715
"41" "CZ" 7 0.706
"42" "CZ" 8 0.54
"43" "CZ" 9 0.742
"44" "DE" 1 1.424
"45" "DE" 2 1.347
"46" "DE" 3 1.3
"47" "DE" 4 1.417
"48" "DE" 5 1.51
"49" "DE" 6 1.514
"50" "DE" 7 1.75
"51" "DE" 8 1.711
"52" "DE" 9 1.781
"53" "DK" 1 1.472
"54" "DK" 2 1.473
"55" "DK" 3 1.533
"56" "DK" 4 1.51
"57" "DK" 5 1.568
"58" "DK" 6 1.451
"59" "DK" 7 1.479
"60" "DK" 9 1.611
"61" "EE" 2 1.472
"62" "EE" 3 1.299
"63" "EE" 4 1.341
"64" "EE" 5 1.471
"65" "EE" 6 1.419
"66" "EE" 7 1.459
"67" "EE" 8 1.52
"68" "EE" 9 1.526
"69" "ES" 1 1.303
"70" "ES" 2 1.458
"71" "ES" 3 1.72
"72" "ES" 4 1.833
"73" "ES" 5 1.837
"74" "ES" 6 1.885
"75" "ES" 7 1.944
"76" "ES" 8 2.029
"77" "ES" 9 1.955
"78" "FI" 1 1.701
"79" "FI" 2 1.696
"80" "FI" 3 1.768
"81" "FI" 4 1.803
"82" "FI" 5 1.623
"83" "FI" 6 1.886
"84" "FI" 7 1.97
"85" "FI" 8 2.038
"86" "FI" 9 2.174
"87" "FR" 1 1.761
"88" "FR" 2 1.862
"89" "FR" 3 1.991
"90" "FR" 4 1.885
"91" "FR" 5 1.883
"92" "FR" 6 1.897
"93" "FR" 7 1.873
"94" "FR" 8 2.043
"95" "FR" 9 2.091
"96" "GB" 1 1.297
"97" "GB" 2 1.354
"98" "GB" 3 1.41
"99" "GB" 4 1.464
"100" "GB" 5 1.385
"101" "GB" 6 1.404
"102" "GB" 7 1.584
"103" "GB" 8 1.564
"104" "GB" 9 1.703
