"cntry" "essround" "m"
"1" "AL" 6 5.065
"2" "AT" 1 4.914
"3" "AT" 2 4.843
"4" "AT" 3 4.812
"5" "AT" 7 5.021
"6" "AT" 8 4.847
"7" "AT" 9 5.018
"8" "BE" 1 4.918
"9" "BE" 2 4.923
"10" "BE" 3 4.958
"11" "BE" 4 4.954
"12" "BE" 5 4.937
"13" "BE" 6 4.972
"14" "BE" 7 4.953
"15" "BE" 8 4.966
"16" "BE" 9 4.984
"17" "BG" 3 4.803
"18" "BG" 4 4.788
"19" "BG" 5 4.842
"20" "BG" 6 4.936
"21" "BG" 9 4.453
"22" "CH" 1 4.994
"23" "CH" 2 5.046
"24" "CH" 3 5.074
"25" "CH" 4 5.112
"26" "CH" 5 5.137
"27" "CH" 6 5.131
"28" "CH" 7 5.136
"29" "CH" 8 5.093
"30" "CH" 9 5.092
"31" "CY" 3 4.974
"32" "CY" 4 5.058
"33" "CY" 5 5.205
"34" "CY" 6 5.192
"35" "CY" 9 5.182
"36" "CZ" 1 4.698
"37" "CZ" 2 4.503
"38" "CZ" 4 4.492
"39" "CZ" 5 4.543
"40" "CZ" 6 4.507
"41" "CZ" 7 4.498
"42" "CZ" 8 4.362
"43" "CZ" 9 4.502
"44" "DE" 1 4.861
"45" "DE" 2 4.839
"46" "DE" 3 4.834
"47" "DE" 4 4.917
"48" "DE" 5 5.013
"49" "DE" 6 5.062
"50" "DE" 7 5.099
"51" "DE" 8 5.035
"52" "DE" 9 5.08
"53" "DK" 1 4.839
"54" "DK" 2 4.851
"55" "DK" 3 4.906
"56" "DK" 4 4.925
"57" "DK" 5 4.977
"58" "DK" 6 4.985
"59" "DK" 7 4.995
"60" "DK" 9 5.041
"61" "EE" 2 4.671
"62" "EE" 3 4.664
"63" "EE" 4 4.655
"64" "EE" 5 4.825
"65" "EE" 6 4.759
"66" "EE" 7 4.757
"67" "EE" 8 4.679
"68" "EE" 9 4.692
"69" "ES" 1 4.984
"70" "ES" 2 4.941
"71" "ES" 3 5.113
"72" "ES" 4 5.152
"73" "ES" 5 5.172
"74" "ES" 6 5.21
"75" "ES" 7 5.2
"76" "ES" 8 5.19
"77" "ES" 9 5.153
"78" "FI" 1 4.839
"79" "FI" 2 4.809
"80" "FI" 3 4.858
"81" "FI" 4 4.877
"82" "FI" 5 4.83
"83" "FI" 6 4.991
"84" "FI" 7 5.012
"85" "FI" 8 5.001
"86" "FI" 9 5.113
"87" "FR" 1 4.872
"88" "FR" 2 4.891
"89" "FR" 3 4.899
"90" "FR" 4 4.874
"91" "FR" 5 4.84
"92" "FR" 6 4.885
"93" "FR" 7 4.842
"94" "FR" 8 4.856
"95" "FR" 9 4.956
"96" "GB" 1 4.695
"97" "GB" 2 4.821
"98" "GB" 3 4.835
"99" "GB" 4 4.84
"100" "GB" 5 4.891
"101" "GB" 6 4.969
"102" "GB" 7 4.92
"103" "GB" 8 4.884
"104" "GB" 9 4.975
"105" "GR" 1 5.068
"106" "GR" 2 5.134
"107" "GR" 4 5.101
"108" "GR" 5 5.157
"109" "HR" 4 4.763
"110" "HR" 5 4.818
"111" "HR" 9 5.032
"112" "HU" 1 4.801
"113" "HU" 2 4.944
"114" "HU" 3 4.886
"115" "HU" 4 4.807
"116" "HU" 5 4.93
"117" "HU" 6 4.933
"118" "HU" 7 4.865
"119" "HU" 8 4.83
"120" "HU" 9 4.493
"121" "IE" 1 4.821
"122" "IE" 2 4.935
"123" "IE" 3 4.84
"124" "IE" 4 4.979
"125" "IE" 5 4.767
"126" "IE" 6 4.923
"127" "IE" 7 4.85
"128" "IE" 8 4.783
"129" "IE" 9 4.962
"130" "IL" 1 4.884
"131" "IL" 4 5.067
"132" "IL" 5 4.95
"133" "IL" 6 4.831
"134" "IL" 7 5.04
"135" "IL" 8 4.893
"136" "IS" 2 4.819
"137" "IS" 6 4.98
"138" "IS" 8 5.046
"139" "IS" 9 5.072
"140" "IT" 1 NA
"141" "IT" 6 5.141
"142" "IT" 8 4.726
"143" "IT" 9 4.728
"144" "LT" 5 4.356
"145" "LT" 6 4.103
"146" "LT" 7 4.257
"147" "LT" 8 4.216
"148" "LT" 9 4.105
"149" "LU" 1 NA
"150" "LU" 2 4.922
"151" "LV" 4 4.647
"152" "LV" 9 4.745
"153" "ME" 9 4.845
"154" "NL" 1 4.736
"155" "NL" 2 4.788
"156" "NL" 3 4.792
"157" "NL" 4 4.798
"158" "NL" 5 4.824
"159" "NL" 6 4.848
"160" "NL" 7 4.764
"161" "NL" 8 4.888
"162" "NL" 9 4.92
"163" "NO" 1 4.571
"164" "NO" 2 4.613
"165" "NO" 3 4.677
"166" "NO" 4 4.656
"167" "NO" 5 4.775
"168" "NO" 6 4.794
"169" "NO" 7 4.791
"170" "NO" 8 4.785
"171" "NO" 9 4.859
"172" "PL" 1 4.787
"173" "PL" 2 4.812
"174" "PL" 3 4.838
"175" "PL" 4 4.801
"176" "PL" 5 4.872
"177" "PL" 6 4.967
"178" "PL" 7 4.938
"179" "PL" 8 4.875
"180" "PL" 9 4.68
"181" "PT" 1 4.633
"182" "PT" 2 4.471
"183" "PT" 3 4.675
"184" "PT" 4 4.513
"185" "PT" 5 4.565
"186" "PT" 6 4.561
"187" "PT" 7 4.731
"188" "PT" 8 4.767
"189" "PT" 9 4.781
"190" "RO" 4 4.534
"191" "RS" 9 4.979
"192" "RU" 3 4.65
"193" "RU" 4 4.669
"194" "RU" 5 4.724
"195" "RU" 6 4.679
"196" "RU" 8 4.476
"197" "SE" 1 4.605
"198" "SE" 2 4.627
"199" "SE" 3 4.657
"200" "SE" 4 4.714
"201" "SE" 5 4.847
"202" "SE" 6 4.977
"203" "SE" 7 5.025
"204" "SE" 8 4.955
"205" "SE" 9 4.972
"206" "SI" 1 4.74
"207" "SI" 2 4.723
"208" "SI" 3 4.839
"209" "SI" 4 4.874
"210" "SI" 5 4.992
"211" "SI" 6 5.137
"212" "SI" 7 5.156
"213" "SI" 8 5.033
"214" "SI" 9 5.113
"215" "SK" 2 4.573
"216" "SK" 3 4.654
"217" "SK" 4 4.787
"218" "SK" 5 4.752
"219" "SK" 6 4.744
"220" "SK" 9 4.57
"221" "TR" 2 4.925
"222" "TR" 4 4.825
"223" "UA" 2 4.497
"224" "UA" 3 4.584
"225" "UA" 4 4.642
"226" "UA" 5 4.483
"227" "UA" 6 4.505
"228" "XK" 6 5.212
