"cntry" "essround" "meanOTC"
"1" "AL" 6 4.2553807106599
"2" "AT" 1 4.15074897866546
"3" "AT" 2 4.25249121198227
"4" "AT" 3 4.23844501718213
"5" "AT" 7 4.22677902621723
"6" "AT" 8 4.13792724196277
"7" "AT" 9 4.1526701997554
"8" "BE" 1 4.24658424908425
"9" "BE" 2 4.18575547866205
"10" "BE" 3 4.2027149321267
"11" "BE" 4 4.17501953888238
"12" "BE" 5 4.18536439665472
"13" "BE" 6 4.24602911369081
"14" "BE" 7 4.2305088024763
"15" "BE" 8 4.25022803886575
"16" "BE" 9 4.28440797186401
"17" "BG" 3 3.76538768984812
"18" "BG" 4 3.65966252785737
"19" "BG" 5 3.76234970302767
"20" "BG" 6 3.76512551636479
"21" "BG" 9 3.41025990548891
"22" "CH" 1 4.28958022233284
"23" "CH" 2 4.25377298161471
"24" "CH" 3 4.21837218116354
"25" "CH" 4 4.28946523053666
"26" "CH" 5 4.34638718473074
"27" "CH" 6 4.44455524988537
"28" "CH" 7 4.44576346970713
"29" "CH" 8 4.41941441441441
"30" "CH" 9 4.39061111111111
"31" "CY" 3 4.17704099821747
"32" "CY" 4 4.24493869404049
"33" "CY" 5 4.15342847769029
"34" "CY" 6 4.24772727272727
"35" "CY" 9 3.9783950617284
"36" "CZ" 1 3.62990115321252
"37" "CZ" 2 3.76120196238757
"38" "CZ" 4 3.88457201435161
"39" "CZ" 5 3.98980873120164
"40" "CZ" 6 3.94517682072829
"41" "CZ" 7 4.04458100558659
"42" "CZ" 8 3.97394716394716
"43" "CZ" 9 4.01545191612437
"44" "DE" 1 4.03146154766176
"45" "DE" 2 4.0358859930977
"46" "DE" 3 4.04751973606693
"47" "DE" 4 4.03206031392906
"48" "DE" 5 4.11846571622539
"49" "DE" 6 4.19070259755121
"50" "DE" 7 4.13975863224941
"51" "DE" 8 4.16018287614298
"52" "DE" 9 4.11128382268279
"53" "DK" 1 4.25202470830474
"54" "DK" 2 4.17270233196159
"55" "DK" 3 4.13958189754192
"56" "DK" 4 4.19340411840412
"57" "DK" 5 4.25662793199914
"58" "DK" 6 4.32093167701863
"59" "DK" 7 4.31880225988701
"60" "DK" 9 4.31578494623656
"61" "EE" 2 3.67758799171843
"62" "EE" 3 3.76328638497653
"63" "EE" 4 3.85995055624227
"64" "EE" 5 3.98654363706267
"65" "EE" 6 3.84734832108373
"66" "EE" 7 3.76076651538074
"67" "EE" 8 3.82732489451477
"68" "EE" 9 3.79714134462679
"69" "ES" 1 4.03481797844214
"70" "ES" 2 3.91594577146546
"71" "ES" 3 3.99578246392897
"72" "ES" 4 3.99281084656085
"73" "ES" 5 4.06077694235589
"74" "ES" 6 4.07413509060956
"75" "ES" 7 4.0252691065662
"76" "ES" 8 4.06027615507169
"77" "ES" 9 4.06272982911529
"78" "FI" 1 4.01512222853894
"79" "FI" 2 3.96796690307329
"80" "FI" 3 3.97190157958688
"81" "FI" 4 3.95222163681068
"82" "FI" 5 4.07074684574685
"83" "FI" 6 4.09292717086835
"84" "FI" 7 4.08078114807567
"85" "FI" 8 4.16635021097046
"86" "FI" 9 4.16870905587669
"87" "FR" 1 4.1344512195122
"88" "FR" 2 4.09884607666065
"89" "FR" 3 3.94831451060917
"90" "FR" 4 3.98671104536489
"91" "FR" 5 3.98808820633983
"92" "FR" 6 4.01802897051216
"93" "FR" 7 4.00236832803111
"94" "FR" 8 4.02264073526998
"95" "FR" 9 4.03648556295917
"96" "GB" 1 3.99380598437202
"97" "GB" 2 3.96379660391288
"98" "GB" 3 4.00903562119896
"99" "GB" 4 3.98583594800538
"100" "GB" 5 3.99494317364408
"101" "GB" 6 4.05996687744655
"102" "GB" 7 3.97551270278543
"103" "GB" 8 3.99534069013838
"104" "GB" 9 3.98895610361408
"105" "GR" 1 4.2479956515831
"106" "GR" 2 4.14281872365169
"107" "GR" 4 4.4312962962963
"108" "GR" 5 4.23312629399586
"109" "HR" 4 3.68473254086181
"110" "HR" 5 3.63683006535948
"111" "HR" 9 3.83512851897185
"112" "HU" 1 4.17915601023018
"113" "HU" 2 4.27699597251836
"114" "HU" 3 4.21699716713881
"115" "HU" 4 4.17203023758099
"116" "HU" 5 4.32628205128205
"117" "HU" 6 4.32315972222222
"118" "HU" 7 4.2713324207164
"119" "HU" 8 4.40483369227088
"120" "HU" 9 4.01998304725577
"121" "IE" 1 3.9496111412552
"122" "IE" 2 3.90903385872738
"123" "IE" 3 3.94278795535902
"124" "IE" 4 4.08366013071895
"125" "IE" 5 4.07890715109573
"126" "IE" 6 4.01742030145391
"127" "IE" 7 4.03294049177943
"128" "IE" 8 4.04114938178148
"129" "IE" 9 3.93866634491634
"130" "IL" 1 4.28749615975422
"131" "IL" 4 4.42620744259699
"132" "IL" 5 4.26185714285714
"133" "IL" 6 4.2385146044327
"134" "IL" 7 4.2991662944767
"135" "IL" 8 4.26705110809588
"136" "IS" 2 4.0695873015873
"137" "IS" 6 4.20136832660386
"138" "IS" 8 4.14443784639747
"139" "IS" 9 4.10576009501188
"140" "IT" 1 NA
"141" "IT" 6 4.06739884393064
"142" "IT" 8 3.78531580411797
"143" "IT" 9 3.71022049286641
"144" "LT" 5 3.60729364576736
"145" "LT" 6 3.62315670069681
"146" "LT" 7 3.58676019625882
"147" "LT" 8 3.67112097304405
"148" "LT" 9 3.32001614205004
"149" "LU" 1 NA
"150" "LU" 2 4.07409677419355
"151" "LV" 4 4.21176165803109
"152" "LV" 9 3.96259645061728
"153" "ME" 9 3.86109154929577
"154" "NL" 1 4.13785114393281
"155" "NL" 2 4.14605263157895
"156" "NL" 3 4.23572084481175
"157" "NL" 4 4.21503248670998
"158" "NL" 5 4.24836750189825
"159" "NL" 6 4.26812080536913
"160" "NL" 7 4.20035146133925
"161" "NL" 8 4.27285714285714
"162" "NL" 9 4.26443833943834
"163" "NO" 1 3.75840716131414
"164" "NO" 2 3.76917098445596
"165" "NO" 3 3.80984996738421
"166" "NO" 4 3.84719796215429
"167" "NO" 5 3.90680720245938
"168" "NO" 6 4.02577179808093
"169" "NO" 7 3.96226325757576
"170" "NO" 8 3.9816304108987
"171" "NO" 9 3.9604707012488
"172" "PL" 1 3.77947103274559
"173" "PL" 2 3.78301518883415
"174" "PL" 3 3.82172491314122
"175" "PL" 4 3.78468089693834
"176" "PL" 5 3.79257711442786
"177" "PL" 6 3.83865677111966
"178" "PL" 7 3.73312916398023
"179" "PL" 8 3.79363617761408
"180" "PL" 9 3.54163742690058
"181" "PT" 1 3.8601904090268
"182" "PT" 2 3.82211877201812
"183" "PT" 3 3.74755387761523
"184" "PT" 4 3.65227477477477
"185" "PT" 5 3.8413923013923
"186" "PT" 6 3.80925476883285
"187" "PT" 7 3.88823691460055
"188" "PT" 8 4.01936314363144
"189" "PT" 9 3.94360484134773
"190" "RO" 4 3.85607934054611
"191" "RS" 9 3.77722858133888
"192" "RU" 3 3.70397719070305
"193" "RU" 4 3.73134163208852
"194" "RU" 5 3.91860698514653
"195" "RU" 6 3.90738369611609
"196" "RU" 8 3.82105110336818
"197" "SE" 1 3.88892864241701
"198" "SE" 2 3.92842252956504
"199" "SE" 3 3.97160571668768
"200" "SE" 4 4.00668831168831
"201" "SE" 5 4.08129718599863
"202" "SE" 6 4.18782407407407
"203" "SE" 7 4.16150047483381
"204" "SE" 8 4.13370589524436
"205" "SE" 9 4.10500663129973
"206" "SI" 1 4.187655651341
"207" "SI" 2 4.17519260400616
"208" "SI" 3 4.28184098319539
"209" "SI" 4 4.29457694491766
"210" "SI" 5 4.38489121676068
"211" "SI" 6 4.3489224137931
"212" "SI" 7 4.42770814682184
"213" "SI" 8 4.39209722222222
"214" "SI" 9 4.36755683374418
"215" "SK" 2 3.717709798406
"216" "SK" 3 3.82842315369261
"217" "SK" 4 3.65104994324631
"218" "SK" 5 3.68423220973783
"219" "SK" 6 3.80505502704719
"220" "SK" 9 3.81051036682616
"221" "TR" 2 3.96252873563218
"222" "TR" 4 4.26725225225225
"223" "UA" 2 3.32081564048125
"224" "UA" 3 3.48311158417598
"225" "UA" 4 3.48972270700019
"226" "UA" 5 3.40735321703245
"227" "UA" 6 3.61328150307742
"228" "XK" 6 4.21965010934083
